net,length_um
_0671_,14.55
regs.rx_data\[1\],14.52
_0825_,14.5
_0625_,14.48
_0694_,14.46
net217,14.46
_1073_,14.42
net330,14.38
rx_fifo.fifo\[5\]\[3\],14.32
net276,14.3
rx_fifo.fifo\[2\]\[0\],14.28
_0523_,14.24
_0768_,14.16
_0576_,14.08
net309,14.08
rx.baud_cnt\[4\],14.06
net307,14.04
_0627_,14.02
_0702_,14.02
out2,13.98
tx.shift_reg\[6\],13.98
_1147_,13.96
_0735_,13.94
tx_fifo.fifo\[2\]\[1\],13.93
_0864_,13.92
rx_fifo.fifo\[3\]\[9\],13.915
tx_fifo.fifo\[8\]\[7\],13.835
_1195_,13.7
_0679_,13.68
_0014_,13.67
_1071_,13.66
regs.mcr_reg\[5\],13.54
net310,13.42
_0596_,13.38
regs.tx_data\[1\],13.38
net264,13.32
_1078_,13.3
_1134_,13.2
tx_fifo.fifo\[10\]\[6\],13.19
_0763_,13.14
_0501_,13.13
_0666_,13.1
_0926_,13.1
_0505_,13.07
tx_fifo.fifo\[2\]\[3\],13.07
net350,13.04
_0968_,13.02
_1228_,13.02
rx.shift_reg\[0\],13.02
net275,13.02
_0358_,13.005
rx_fifo.fifo\[4\]\[5\],12.965
_0584_,12.92
_0514_,12.88
net305,12.86
_0143_,12.845
_1180_,12.84
rx_fifo.fifo\[1\]\[1\],12.835
tx_fifo.fifo\[14\]\[5\],12.82
_1067_,12.76
_0780_,12.74
_0591_,12.68
rx_fifo.fifo\[2\]\[6\],12.68
tx_fifo.fifo\[14\]\[0\],12.67
regs.dlab,12.62
net326,12.62
_0796_,12.6
_0751_,12.56
_0948_,12.56
_0641_,12.5
rx_fifo.fifo\[15\]\[5\],12.5
tx_fifo.fifo\[8\]\[0\],12.49
_0621_,12.4
_1012_,12.4
_0970_,12.38
tx_fifo.fifo\[14\]\[3\],12.38
_1109_,12.34
_0673_,12.3
_0824_,12.285
rx_fifo.fifo\[2\]\[9\],12.19
net319,12.18
_0363_,12.16
_0975_,12.16
tx_fifo.fifo\[14\]\[1\],12.16
_1252_,12.12
_1253_,12.08
tx_fifo.fifo\[7\]\[7\],12.05
_0544_,12.04
tx_fifo.fifo\[4\]\[5\],12.01
net299,11.9
_0668_,11.84
regs.tx_data\[5\],11.84
net274,11.8
_0937_,11.76
_0929_,11.74
rx_fifo.fifo\[4\]\[10\],11.73
tx_fifo.fifo\[1\]\[2\],11.73
_0618_,11.72
_1105_,11.7
irq,11.68
parity_err,11.68
tx_fifo.fifo\[1\]\[4\],11.66
net298,11.66
_1096_,11.65
_0654_,11.64
_0615_,11.58
tx_fifo.fifo\[6\]\[5\],11.57
rst_n,11.56
rx.baud_cnt\[15\],11.56
wdata[3],11.56
wdata[4],11.56
rx_fifo.fifo\[5\]\[2\],11.55
net384,11.505
addr[1],11.48
tx_fifo.fifo\[10\]\[1\],11.47
net371,11.46
addr[0],11.44
_0208_,11.43
regs.rx_data\[6\],11.42
_0042_,11.4
_1182_,11.38
_0064_,11.36
net283,11.34
_0639_,11.26
_0707_,11.24
_1040_,11.24
rx_fifo.fifo\[2\]\[3\],11.24
_0644_,11.22
regs.rx_data\[4\],11.2
tx_fifo.fifo\[1\]\[7\],11.2
net293,11.125
tx_fifo.fifo\[0\]\[1\],11.12
net203,11.12
tx_fifo.fifo\[12\]\[5\],11.1
net287,11.1
net343,11.1
_0327_,11.08
_1235_,11.05
regs.tx_data\[4\],11.04
rx_fifo.fifo\[10\]\[1\],11.01
tx_fifo.fifo\[2\]\[4\],11.01
regs.tx_data\[0\],10.96
_0650_,10.92
_1010_,10.92
_0084_,10.9
tx_fifo.fifo\[2\]\[0\],10.9
_0302_,10.89
net208,10.88
_0842_,10.86
_0648_,10.85
rx_fifo.fifo\[9\]\[2\],10.83
_1145_,10.82
_0151_,10.8
_0715_,10.8
_0760_,10.8
_0797_,10.8
_1110_,10.8
tx_fifo.fifo\[10\]\[5\],10.79
net375,10.78
rx_fifo.fifo\[1\]\[5\],10.75
tx_fifo.fifo\[0\]\[6\],10.725
_0909_,10.72
_0051_,10.705
regs.rx_data\[2\],10.7
rx_fifo.fifo\[2\]\[1\],10.7
_0613_,10.66
_0787_,10.66
rx_fifo.fifo\[6\]\[3\],10.66
tx_fifo.fifo\[4\]\[7\],10.66
_0549_,10.6
regs.dlh\[2\],10.58
_0994_,10.565
_0936_,10.54
_1197_,10.54
tx_fifo.fifo\[11\]\[0\],10.49
net370,10.46
_0921_,10.44
net206,10.44
net340,10.44
_0667_,10.42
_0915_,10.42
net383,10.405
regs.mcr_reg\[6\],10.38
tx.baud_cnt\[15\],10.38
_0255_,10.37
_0038_,10.36
rx.baud_cnt\[13\],10.36
net372,10.34
_0108_,10.32
_0241_,10.32
_0337_,10.32
_0552_,10.32
net271,10.32
_0138_,10.3
net273,10.3
net281,10.28
_0287_,10.24
_0482_,10.21
net315,10.2
_0674_,10.18
net314,10.18
net288,10.14
_1248_,10.12
_0816_,10.065
net292,10.06
rx_fifo.fifo\[12\]\[5\],10.05
_1076_,9.98
rx_fifo.fifo\[15\]\[9\],9.96
_1130_,9.94
_1172_,9.94
_0950_,9.92
tx_fifo.fifo\[14\]\[7\],9.92
rx_fifo.fifo\[5\]\[0\],9.89
tx_fifo.fifo\[4\]\[2\],9.885
_0708_,9.86
_1245_,9.86
_1247_,9.86
_1083_,9.85
_1087_,9.85
_0698_,9.84
rx_fifo.fifo\[6\]\[6\],9.825
_0136_,9.82
_0922_,9.82
_0923_,9.82
_0764_,9.8
net354,9.76
_1008_,9.755
_0945_,9.72
_1140_,9.72
tx_fifo.fifo\[13\]\[3\],9.71
_0000_,9.7
regs.lcr\[5\],9.7
net268,9.7
_0164_,9.665
_0145_,9.66
_0371_,9.66
regs.tx_data\[2\],9.66
_0367_,9.64
_0788_,9.64
_0329_,9.57
_0623_,9.54
_0969_,9.54
net329,9.52
_0406_,9.51
_0736_,9.48
_0933_,9.48
_0960_,9.46
rx_fifo.fifo\[10\]\[2\],9.445
_0189_,9.43
_0194_,9.41
_0463_,9.4
_1050_,9.4
_1204_,9.4
net341,9.4
_0963_,9.38
_0557_,9.32
_1210_,9.32
_0362_,9.28
_0626_,9.28
_0998_,9.26
rx_fifo.fifo\[11\]\[7\],9.26
rx_fifo.fifo\[6\]\[1\],9.205
_0508_,9.19
_0182_,9.18
_0372_,9.18
_0794_,9.18
_0966_,9.16
_1057_,9.16
rx.baud_cnt\[7\],9.16
_0483_,9.13
_0979_,9.12
_0221_,9.11
_0234_,9.11
tx_fifo.fifo\[12\]\[6\],9.09
net379,9.08
_0165_,9.06
net356,9.06
_0142_,9.02
_1183_,9.02
_0504_,9.01
_0369_,9
_0561_,8.98
net321,8.98
break_int,8.96
rdata[6],8.96
_0335_,8.94
_1015_,8.94
_1097_,8.94
rx_fifo.fifo\[11\]\[10\],8.935
_0819_,8.92
_0187_,8.9
rx_fifo.fifo\[15\]\[1\],8.895
rx_fifo.fifo\[7\]\[7\],8.875
rx_in,8.84
net312,8.84
net328,8.84
net349,8.835
_0662_,8.82
_0490_,8.79
rx_fifo.fifo\[14\]\[0\],8.77
_1070_,8.74
_0660_,8.72
wdata[0],8.72
wdata[5],8.72
_0239_,8.71
_0045_,8.68
rx_fifo.fifo\[1\]\[4\],8.675
_1168_,8.66
_0230_,8.63
_0109_,8.62
_0699_,8.62
_1255_,8.62
_0079_,8.6
_0111_,8.6
_0199_,8.58
_0687_,8.58
_0758_,8.58
_1231_,8.58
_0256_,8.54
_0509_,8.485
_0930_,8.48
_1149_,8.48
_0412_,8.47
_1089_,8.47
rx_fifo.fifo\[8\]\[3\],8.45
_0072_,8.445
_0805_,8.44
_0917_,8.42
_1103_,8.42
_1020_,8.4
_0236_,8.37
rx_fifo.fifo\[8\]\[5\],8.37
_0634_,8.36
_0603_,8.34
_0692_,8.34
_0186_,8.33
rx_fifo.fifo\[5\]\[9\],8.32
_1200_,8.3
_1146_,8.28
_0163_,8.26
tx_fifo.fifo\[8\]\[6\],8.25
_0123_,8.24
net301,8.24
rx_fifo.fifo\[0\]\[7\],8.21
_1160_,8.2
net263,8.2
_0289_,8.19
_0332_,8.17
_0167_,8.16
_0098_,8.14
_0114_,8.14
